English,Afrikaans,Arabic,Latin,Belarusian,Bulgarian,Catalan,Czech,Welsh,Danish,German,Greek,Esperanto,Spanish,Estonian,Basque,Farsi,Finnish,French,Galician,Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Georgian,Kazakh,Kannada,Korean,Kyrgyz,Lithuanian,Latvian,Maori,FYRO Macedonian,Mongolian,Marathi,Malay,Maltese,Norwegian,Dutch,Punjabi,Polish,Pashto,Portuguese,Romanian,Russian,Slovak,Slovenian,Albanian,Swedish,Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Tatar,Ukrainian,Urdu,Syriac,Vietnamese,Xhosa,Chinese,Zulu
finally,ten einde laaste,أخيرا,nəhayət,на заканчэнне,накрая,finalment,Konečně,Yn olaf,langt om længe,endlich,τελικά,Fine,por fin,lõpuks,azkenik,سرانجام,lopuksi,finalement,Finalmente,છેલ્લે,סוף כל סוף,आखिरकार,konačno,végül,վերջապես,akhirnya,loksins,finalmente,ついに,საბოლოოდ,соңында,ಅಂತಿಮವಾಗಿ,마지막으로,акыры,pagaliau,beidzot,rawa,Конечно,эцэст нь,शेवटी,Akhirnya,Fl-aħħarnett,til slutt,Tenslotte,ਅੰਤ ਵਿੱਚ,wreszcie,په نهایت کې,finalmente,in cele din urma,наконец-то,nakoniec,končno,më në fund,till sist,Hatimaye,இறுதியாக,చివరగా,ในที่สุด,sa wakas,en sonunda,ниһаять,нарешті,آخر میں,nihoyat,cuối cùng,ekugqibeleni,最后,ekugcineni
hope,hoop,أمل,ümid,надзея,надявам се,esperança,naděje,gobaith,håber,hoffen,Ελπίζω,Espero,esperanza,lootus,itxaropen,امید,toivoa,espoir,esperanza,આશા,לְקַווֹת,आशा,nada,remény,հուսով եմ,harapan,von,speranza,望み,იმედი,үміт,ಭರವಸೆ,희망,үмүт,viltis,cerība,tūmanako,надеж,итгэл найдвар,आशा,Hope.,HOPE,håp,hoop,ਉਮੀਦ,nadzieja,هيله,ter esperança,speranţă,надеяться,nádej,upam,shpresë,hoppas,Matumaini,நம்பிக்கை,ఆశిస్తున్నాము,หวัง,pag-asa,umut,Өмет,надія,امید,umid qilmoq,mong,Ithemba,希望,ithemba
water,water,ماء,suvarmaq,вада,вода,regar,voda,ddyfrhau,vand,Wasser,νερό,Akvo,agua,vesi,garaztatu,اب,vesi,l'eau,Auga,પાણી,מים,पानी,voda,víz,ջրմուղ,air,vatn,acqua,水,მორწყვა,суару,ನೀರು,물,суу,Vanduo,ūdens,wai,вода,ус,पाणी,air,Ilma,vann,water,ਪਾਣੀ,woda,اوبه,agua,apă,вода,voda,voda,ujë,vatten,maji,தண்ணீர்,నీటి,น้ำ,tubig,Su,су,вода,پانی,suv,nước,amanzi,水,nisela
Wait,Wag,انتظر,Gözləmək,Чакаць,изчакайте,Esperar,Počkejte,Harhosi,Vente,Warten,Περίμενε,Atendu,Esperar,Ootama,Itxaron,صبر کن,Odota,Attendez,Espera,રાહ જોવી,לַחֲכוֹת,रुकना,Čekati,Várjon,Սպասել,Tunggu,Bíddu,Attesa,待って,ცდა,Күту,ನಿರೀಕ್ಷಿಸಿ,기다리다,Күтө туруңуз,Laukti,Nogaidīt,Tatari,Почекајте,Хүлээх,प्रतीक्षा करा,Tunggu,Stenna,Vente,Wachten,ਉਡੀਕ ਕਰੋ,Czekać,صانان,Esperar,Aștepta,Ждать,Čakať,Počakati,Pres,Vänta,Kusubiri,காத்திரு,వేచి ఉండండి,รอ,Maghintay,Beklemek,Көтегез,Чекати,انتظار کرو,Kutmoq,Đợi đã,Yima,等待,Linda
left,links,اليسار,sol,левы,наляво,esquerre,"vlevo, odjet",chwith,venstre,links,αριστερά,maldekstre,izquierda,vasakule,ezker,ترک کرد,vasemmalle,à gauche,esquerda.,બાકી,שמאלה,बाएं,lijevo,bal,ձախ,kiri,vinstri,sinistra,左,მარცხენა,сол,ಎಡ,왼쪽,сол,kairėje,pa kreisi,mauī,лево,зүүн,डावीकडे,dibiarkan,Xellug,venstre,links,ਖੱਬੇ,lewo,کیڼ,deixou,stânga,левый,vľavo,levo,lë,vänster,kushoto.,இடது,ఎడమవైపున,ซ้าย,Kaliwa,ayrıldı,сулда,ліворуч,بائیں,chapda,bên trái,khohlo,剩下,-bunxele
new,nuut,الجديد,yeni,новы,нов,nou,Nový,newydd,ny,Neu,νέος,Nova,nuevo,uus,berri,جدید,Uusi,Nouveau,NEW.,નવું,חָדָשׁ,नया,novi,új,նոր,baru,Nýtt,nuovo,新着,ახალი,жаңа,ಹೊಸ,새로운,жаңы,NAUJAS. \ T,jauns,hou,Ново,шинэ,नवीन,baru,New.,ny,nieuwe,ਨਵਾਂ,Nowy,نوی,novo,nou,новый,Nový,novo,i ri,ny,NEW.,புதிய,క్రొత్తగా,ใหม่,Bago,yeni,яңа,новий,نئی,yangi,Mới,intsha,新的,-kwanamuhla
job,taak,مهنة,iş,работа,работа,treball,práce,swydd,job,Arbeit,δουλειά,laboro,trabajo,töö,zeregin,کار,Job,travail,Job.,નોકરી,עבודה,काम,posao,munka,աշխատանք,pekerjaan,starf,lavoro,仕事,სამუშაო,тапсырма,ಕೆಲಸ,직업,жумуш,Job,darbs,mahi,работа,үүрэг,नोकरी,kerja,xogħol,jobb,functie,ਨੌਕਰੀ,stanowisko,دنده,trabalho,loc de munca,работа,zamestnanie,Job.,punë,jobb,kazi,பணி,ఉద్యోగం,งาน,Job.,Görev,эш,робота,کام,ish,Công việc,umsebenzi,工作,umsebenzi
Stop,Stop,قف,Dayanmaq,Прыпынак,Спри се,Atura,Stop,Harnaf,Hold op,Halt,Να σταματήσει,Halti,Detener,Peatama,Geldialdi,متوقف کردن,Lopettaa,Arrêter,Stop.,બંધ,תפסיק,विराम,Stop,Álljon meg,Կանգ առնել,Berhenti,Stöðva,Fermare,やめる,გაჩერება,Тоқта,ನಿಲ್ಲಿಸು,중지,Токтоо,Sustabdyti,Pārtraukt,Puru,Стоп,Зогс,थांबवा,Berhenti,Waqfa,Stoppe,Stoppen,ਰੂਕੋ,Zatrzymać,درېدل,Pare,Stop,Останавливаться,Zastávka,Ustavi,Ndaloj,Sluta,Kuacha,நிறுத்த,ఆపు,หยุด,Hihinto,Durmak,Тукта,Стій,سٹاپ,STOP,Dừng lại,Yeka,停止,Ima
would say,sal sê,سيقول,dediyi,б сказаць,бих казал,diria,řekl,yn dweud,ville sige,würde sagen,θα έλεγα,dirus,diría,ütleks,esango luke,می گویند,sanoisi,dirait,sairía,કહે છે,הייתי אומר,कहेगा,bih rekao,mondanám,կասեր,akan berkata,myndi segja,direi,言うでしょう,ვიტყოდი,айтар еді,ಎಂದು ಹೇಳುವುದು,말하자,айтат,sakyčiau,teiktu,ka mea atu,би кажал,хэлье,म्हणेल,akan berkata,ngħid,ville si,zou zeggen,ਕਹੇਗਾ,powiedziałbym,به ووایی,diria,as spune,я бы сказал,povedal,bi rekel,do të thoja,skulle säga,ungesema,என்று சொல்ல வேண்டும்,చెబుతా,จะพูด,sasabihin,söyleyebilirim,әйтер иде,сказав би,کہیں گے,deb aytadi,sẽ nói,ndingatsho,会说,angasho
Earth,Aarde,الارض,Yer,Зямля,Земя,Terra,Země,Daear,jorden,Erde,Γη,Tero,tierra,Maa,Lur,زمین,Maapallo,Terre,Terra,પૃથ્વી,כדור הארץ,धरती,Zemlja,föld,Երկիր,bumi,Earth.,terra,地球,დედამიწა,Топырақ,ಭೂಮಿ,지구,Жер,Žemė,Zeme,Oneone,Земја,Газар дэлхий,पृथ्वी,Bumi.,Earth.,Jord,aarde,ਧਰਤੀ,Ziemia,ځمکه,terra,Pământ,земной шар,Zeme,Zemlja,Tokë,Jord,Dunia.,பூமியின்,భూమిపై,โลก,Lupa,Dünya,Earthир,Земля,زمین,Er,Trái đất,Umhlaba,地球,Inhlabathi
account,rekening,الحساب,hesab,рахунак,сметка,compte,účet,nghyfrif,konto,Konto,λογαριασμός,Konto,cuenta,konto,kontu,حساب,tili,Compte,conta,હિસાબ,חֶשְׁבּוֹן,कारण,račun,számla,հաշիվ,Akun,reikningur,account,アカウント,ანგარიში,шот,ಖಾತೆ,계정,эсеп,Paskyra,konts,kaute,Сметка,данс,खाते,akaun,kont,regnskap,rekening,ਖਾਤਾ,rachunek,ګڼون,conta,cont,Счет,účtovať,račun,llogaris,konto,akaunti,கணக்கு,ఖాతా,บัญชีผู้ใช้,account.,hesap,хисап,обліковий запис,کھاتہ,hisob,tài khoản,iakhawunti,帐户,I-akhawonti
given,gegonder,معطى,verilmiş,улічваючы,даден,donat,dávka,rhodd,givet,gegeben,δεδομένος,donita,dado,antud,emana,داده شده,annettu,donné,Dado,આપેલ,נָתוּן,दिया गया,dano,adott,տրված,diberikan,gefið,dato,与えた,მოცემული,берілген,ನೀಡಿದ,주어진,берилген,Atsižvelgiant,dots,hoatu,Дадено,өгсөн,दिलेला,diberikan,mogħtija,gitt.,gegeven,ਦਿੱਤਾ ਗਿਆ,dany,ورکړل شوی,dado,dat,данный,daný,Glede na to,i dhënë,given,Kutolewa,கொடுக்கப்பட்ட,ఇచ్చిన,ที่ให้ไว้,ibinigay,verilen,бирелгән,даний,دیا گیا,berilgan,được,inikiwe,给予,-Sebenza
far,ver,بعيدا,uzaq,далёкі,дамски,llunyà,daleko,pellaf,Langt,weit,μακριά,malproksime,lejos,kaugel,urrutiko,دور,kaukana,loin,FAR.,દૂર,רָחוֹק,दूर,daleko,messze,հեռու,jauh,Far.,lontano,遠い,შორეული,алыста,ದೂರದ,멀리,алыс,toli,tālu,tawhiti,Далеку,хол,फारच,jauh,Far.,langt,ver,ਦੂਰ,daleko,لرې,distante,departe,далеко,ďaleko,Daljno,shumë larg,långt,FAR.,இதுவரை,దురముగా,ไกล,malayo,Irak,ерак,далеко,دور,uzoq,xa,kude,远的,-kude
end,einde,نهاية,bitirmək,канец,край,final,konec,clo,ende,Ende,τέλος,fino,fin,lõpp,amai,پایان,loppu,finir,Fin,અંત,סוֹף,समाप्त,kraj,vége,վերջ,akhir,enda,fine,終わり,დასასრული,Соңы,ಕೊನೆ,끝,аягы,pabaiga,beigt,mutunga,крај,Төгсгөл,शेवट,Akhirnya,tmiem,slutt,einde,ਅੰਤ,kończyć się,پای,fim,Sfârșit,конец,koniec,konec,fund,slutet,mwisho,முடிவு,ముగింపు,จบ,dulo,son,ахыр,кінець,آخر,oxiri,chấm dứt,isiphelo,结尾,ukugcina
believe,glo,يصدق,inanmaq,верыць,вярвам,creure,věřit,credwch,tro på,glauben,πιστεύω,kredas,creer,uskuma,sinetsi,ایمان داشتن,uskoa,croire,crer,માનવું,לְהֶאֱמִין,विश्वास करते हैं,vjerovati,hinni,հավատալ,meyakini,trúðu,credere,信じる,რწმენა,сену,ನಂಬು,믿다,ишенүү,tiki,uzskatīt,whakapono,Верувај,итгэх,विश्वास,percaya,Believe,tro,geloven,ਵਿਸ਼ਵਾਸ ਕਰੋ,uważać,باور وکړه,acreditam,cred,полагать,veriť,verjeti,besoj,tro,Amini,நம்பு,నమ్మకం,เชื่อ,naniniwala,inanmak,ышан,вірити,یقین,ishonmoq,tin tưởng,kholwa,相信,kholelwa
large,groot,كبير,böyük,вялікі,голям,gran,velký,mawr,stor,groß,μεγάλο,granda,grande,suur,handi,بزرگ,suuri,grande,grande,મોટી,גָדוֹל,विशाल,velik,nagy,մեծ,besar,stórt,larga,大きい,დიდი,ірі,ದೊಡ್ಡ,크기가 큰,чоң,didelis,liels,nui,Голем,том,मोठे,besar,Kbir,stor,groot,ਵੱਡਾ,wielki,لوی,ampla,mare,большой,veľký,Velika,i madh,stor,kubwa,பெரிய,పెద్దది,ใหญ่,malaki,büyük,зур,великий,بڑے,katta,lớn,enkulu,大,-ningi
rather,liewers,على الاصح,əksinə,даволі,по-скоро,una mica,spíše,yn hytrach,hellere,eher,μάλλον,prefere,bastante,pigem,aitzitik,نسبتا,pikemminkin,plutôt,máis ben,તેના બદલે,אלא,बल्कि,radije,Inkább,ավելի շուտ,lebih tepatnya,frekar,piuttosto,それよりも,ცოტათი,жетер,ಬದಲಿಗೆ,꽤,тескерисинче,Atvirkščiai,drīzāk,engari rā,Наместо тоа,илүү дээр,त्याऐवजी,sebaliknya,Anzi,heller,liever,ਇਸ ਦੀ ਬਜਾਏ,raczej,بلکه,em vez,mai degraba,скорее,skôr,raje,më tepër,snarare,badala,மாறாக,బదులుగా,ค่อนข้าง,sa halip,yerine,киресенчә,скоріше,بلکہ,ancha,hơn là,endaweni yoko,相当,okungcono
will have,sal hê,سوف نحصل على,olacaq,будзе мець,ще има,tindrà,budu mít,bydd,vil have,werde haben,θα έχω,havos,tendrá,on,izango dute,خواهد داشت,tulee olemaan,aura,terá,હશે,יהיה,होगा,će imati,lesz,Կունենա,akan memiliki,mun hafa,avrà,have,მექნება,бар болады,ಹೊಂದಿರುತ್ತದೆ,가질거야,болот,turėsiu,būs,ka whai,ќе имаме,байх болно,आहे,pasti akan,se jkollhom,vil ha,zal hebben,ਹੈ ਜਾਵੇਗਾ,będzie miał,لری به,terá,vom avea,буду иметь,bude mať,bo imel,do të ketë,kommer att ha,itakuwa na,வேண்டும்,ఉంటుంది,จะมี,Magkakaroon,sahip olacak,булачак,матимемо,پڑے گا,bo'ladi,sẽ có,siza Kubane,将有,sizoba
to play,om te speel,للعب,oynamaq,гуляць,да играя,jugar,hrát,i chwarae,at lege,spielen,να παίξουμε,Ludi,para jugar,mängima,jolastu,بازی کردن,pelata,jouer,xogar,રમવું,לשחק,खेलने के लिए,igrati,játszani,խաղալ,bermain,að spila,giocare,遊ぶために,თამაში,ойнау,ಆಡಲು,놀기,ойноо,žaisti,spēlēt,ki te takaro,да играш,тоглох,खेळणे,untuk bermain,biex tilgħab,å leke,spelen,ਖੇਡਣ ਲਈ,grać,لوبیدل,jogar,pentru a juca,играть,hrať,igrati,te luaj,att spela,kucheza,விளையாட,ఆడటానికి,เล่น,Maglaro,oynamak,уйнарга,грати,کھیلنا,o'ynash,chơi,ukudlala,玩,ukudlala
office,kantoor,مكتب. مقر. مركز,iş,установа,Офис,oficina,kancelář,swyddfa,kontor,Sekretariat,γραφείο,Oficejo,oficina,kontor,buelgo,دفتر,toimisto,Bureau,Oficina,કચેરી,מִשׂרָד,कार्यालय,ured,hivatal,գրասենյակ,kantor,Skrifstofa,ufficio,オフィス,სამსახური,офис,ಕಚೇರಿ,사무실,кеңсе,biuras,birojs,tari,канцеларија,оффис,कार्यालय,pejabat,Uffiċċju,kontor,kantoor,ਦਫਤਰ,gabinet,دفتر,escritório,birou,офис,kancelária,Office.,zyrë,kontor,Ofisi,அலுவலகம்,ఆఫీసు,สำนักงาน,opisina,ofis,Офис,офіс,دفتر,idora,văn phòng,iofisi,办公室,ihhovisi
abandon,verlaat,تخلى,tərk etmək,кідаць,изоставен,abandonar,opustit,chyfradawch,opgive,aufgeben,εγκαταλείπω,Abandon,abandonar,loobuma,laga,رها کردن,luopua,abandonner,abandonar,ત્યાગ,לִנְטוֹשׁ,छोड़ना; रद्द करना,napustiti,elhagyott,լքել,meninggalkan,að segja skilið við,abbandono,放棄する,მიტოვება,тастау,ಬಿಟ್ಟುಬಿಡು,버리다,таштоо,apleisti,atteikties,whakarere,напуштање,татгалзах,सोडून देणे,meninggalkan,Abbanduna,forlate,in de steek laten,ਤਿਆਗ,opuścić,پریښودل,abandono,abandon,покидать,opustiť,zapustiti,braktis,överge,kuacha,கைவிட,వదిలివేయడం,ละทิ้ง,abandunahin,terk etmek,ташлау,відмовлятися,چھوڑ دو,voz kechmoq,bỏ rơi,shiya,放弃,shiya
best,beste,الأفضل,ən yaxşı,найлепшы,най-доброто,beste,الأفضل,ən yaxşı,найлепшы,най-доброто,εγκαταλείπω,plej bona,mejor,parim,onena,بهترین,parhaat,meilleur,mellor.,શ્રેષ્ઠ,הטוב ביותר,श्रेष्ठ,najbolje,legjobb,լավագույն,terbaik,best,migliore,一番,საუკეთესო,ең жақсы,ಅತ್ಯುತ್ತಮ,베스트,мыкты,geriausia,vislabāk,te tino pai,Најдобро,хамгийн сайн,सर्वोत्तम,Best.,Best.,beste,best,ਵਧੀਆ,Najlepsza,ښه,melhor,Cel mai bun,Лучший,najlepší,najboljši,më i mirë,bäst,Bora,சிறந்த,బెస్ట్,ดีที่สุด,pinakamahusay,en iyi,иң яхшысы,кращий,بہترین,eng yaxshi,tốt nhất,eyona ilungileyo,最好的,-hle kakhulu
